chapter,character,line
1,Eleanor Shellstrop,"Wow, all those amazing people down there, it just seems so hard to believe."
1,Michael,"Again, it's an incredibly selective system."
1,Michael,Most people don't make it here.
1,Michael,"But you, a lawyer who got innocent people off death row, you're special, Eleanor."
1,Michael,"And by the way, welcome to your new home."
1,Michael,"Oh, it's perfect, isn't it?"
1,Michael,"You see, in The Good Place, every person gets to live in a home that perfectly matches his or her true essence."
1,Eleanor Shellstrop,Cool.
1,Eleanor Shellstrop,"So I guess that's why my house, for example, is this adorable little cottage, whereas other people might have homes that are bigger, like that one."
1,Michael,Exactly.
1,Michael,"Oh, I'm so happy you get it."
1,Michael,"As you can see, the interior has been decorated just as you like it, in the Icelandic primitive style."
1,Michael,"Oh, oh, and, uh, of course, you love clowns, so�"
1,Eleanor Shellstrop,I do love clowns.
1,Michael,"Now, let me show you the, uh, the video system here."
1,Michael,You can review everything that happened in your life from your point of view.
1,Michael,There we go.
1,Michael,This is your human rights mission to Ukraine.
1,Michael,"I mean, you got a ton of points for that one."
1,Michael,It really put you over the top.
1,Michael,Oh.
1,Michael,"Chidi, come on in."
1,Chidi Anagonye,Eleanor?
1,Chidi Anagonye,"I'm Chidi Anagonye, and you are my soulmate."
1,Eleanor Shellstrop,Cool!
1,Eleanor Shellstrop,"Bring it in, man."
1,Michael,"Now, excuse me."
1,Michael,I have other people to attend to.
1,Eleanor Shellstrop,"So where you from, Chidi?"
1,Chidi Anagonye,"Well, I was born in Nigeria, raised in Senegal, but my work took me all over the place."
1,Chidi Anagonye,"Australia, Hong Kong, Paris."
1,Chidi Anagonye,What about you?
1,Eleanor Shellstrop,"Uh, well, I� I was born in Phoenix."
1,Chidi Anagonye,Mmm-hmm.
1,Eleanor Shellstrop,Arizona.
1,Eleanor Shellstrop,"And then I went to school in Tempe, Arizona."
1,Eleanor Shellstrop,"And then I moved back to Phoenix, Arizona."
1,Eleanor Shellstrop,Your English is amazing.
1,Chidi Anagonye,Oh!
1,Chidi Anagonye,I'm actually speaking French.
1,Chidi Anagonye,This place just translates whatever you say into a language the other person can understand.
1,Chidi Anagonye,So it's incredible.
1,Eleanor Shellstrop,Whoa.
1,Chidi Anagonye,And now I want to say this.
1,Eleanor Shellstrop,Mmm-kay.
1,Chidi Anagonye,Eleanor.
1,Chidi Anagonye,I have spent my entire life in pursuit of fundamental truths about the universe.
1,Chidi Anagonye,And now we can actually learn about them together as soulmates.
1,Chidi Anagonye,It's overwhelming.
1,Eleanor Shellstrop,Chidi.
1,Eleanor Shellstrop,"You'll stand by my side no matter what, right?"
1,Chidi Anagonye,Of course I will.
1,Eleanor Shellstrop,Promise me.
1,Eleanor Shellstrop,"Say, ""I promise I will never betray you for any reason."""
1,Chidi Anagonye,"Eleanor, I swear that I will never say or do anything to cause you any harm."
1,Eleanor Shellstrop,Good.
1,Eleanor Shellstrop,Because those aren't my memories.
1,Eleanor Shellstrop,I wasn't a lawyer.
1,Eleanor Shellstrop,I never went to the Ukraine.
1,Eleanor Shellstrop,I hate clowns.
1,Eleanor Shellstrop,There's been a big mistake.
1,Eleanor Shellstrop,I'm not supposed to be here.
1,Chidi Anagonye,"Wait, what?"
1,Chidi Anagonye,Are you sure this isn't you?
1,Eleanor Shellstrop,"Yeah, man, I'm pretty sure I wasn't a death-row lawyer who collected clown paintings and rescued orphans."
1,Eleanor Shellstrop,"They got my name right, but nothing else."
1,Eleanor Shellstrop,"I mean, somebody royally forked up."
1,Eleanor Shellstrop,Somebody forked up.
1,Eleanor Shellstrop,"Why can't I say ""fork""?"
1,Chidi Anagonye,"If you're trying to curse, you can't here."
1,Chidi Anagonye,"I guess a lot of people in this neighborhood don't like it, so it's prohibited."
1,Eleanor Shellstrop,That's bull-shirt.
1,Chidi Anagonye,"So, if you're not this person, then who are you?"
1,Chidi Anagonye,What did you do for a living?
1,Eleanor Shellstrop,I was� in� sales.
1,Wallace,"So we sell two products here, NasaPRO and NasaPRO Silver."
1,Wallace,We aim this at seniors.
1,Wallace,"Now, you can't legally call it ""medicine"" because it doesn't technically work and it is technically chalk, so what you're gonna want to do --"
1,Eleanor Shellstrop,You need me to lie to old people and scare them into buying fake medicine.
1,Eleanor Shellstrop,"I get it, man."
1,Eleanor Shellstrop,Which one's my desk?
1,Chidi Anagonye,So your job was to defraud the elderly�
1,Chidi Anagonye,"Sorry, the sick and elderly?"
1,Eleanor Shellstrop,But I was very good at it.
1,Eleanor Shellstrop,I was the top salesperson five years running.
1,Chidi Anagonye,"Okay, but that's worse."
1,Chidi Anagonye,"I mean, you, you do get how that's worse, right?"
1,Chidi Anagonye,"You know, maybe it's a test."
1,Chidi Anagonye,"Maybe if you go to Michael and you tell him the truth, you'll pass the test and you'll get to stay."
1,Eleanor Shellstrop,No way.
1,Eleanor Shellstrop,I can't risk going to The Bad Place.
1,Chidi Anagonye,"Okay, well, maybe it's not actually, like, all that bad."
1,Chidi Anagonye,Let's just get some information first.
1,Chidi Anagonye,We'll ask Janet.
1,Chidi Anagonye,"Hey, Janet?"
1,Janet,Hi there.
1,Janet,How can I help you?
1,Eleanor Shellstrop,What the fork?
1,Eleanor Shellstrop,Who are you?
1,Janet,I'm Janet.
1,Janet,I'm the informational assistant here in The Good Place.
1,Chidi Anagonye,She's like this walking database.
1,Chidi Anagonye,"You can ask her about the creation of the universe, or history --"
1,Eleanor Shellstrop,"Oh, there was a guy who lived in Avondale, Arizona, around 2002."
1,Eleanor Shellstrop,His name was Kevin Paltonic.
1,Eleanor Shellstrop,Is he gay?
1,Janet,No.
1,Eleanor Shellstrop,Really?
1,Eleanor Shellstrop,Huh.
1,Eleanor Shellstrop,I guess he just didn't want to have sex with me.
1,Janet,That's correct.
1,Eleanor Shellstrop,"Well, that's fine, I wasn't that into him anyway."
1,Janet,"Yes, you were."
1,Chidi Anagonye,"Okay, Janet, I have a question."
1,Janet,Okay.
1,Chidi Anagonye,What is The Bad Place like?
1,Janet,"Oh, sorry, that is the one topic I'm not allowed to tell you about."
1,Janet,I can only play you a brief audio clip of what is happening there right now.
1,Chidi Anagonye,Okay.
1,Woman,The bear has two mouths!
1,Eleanor Shellstrop,"Well, it doesn't sound awesome."
1,Eleanor Shellstrop,Does everyone have a huge house except me?
1,Eleanor Shellstrop,"All right, we need a plan."
1,Eleanor Shellstrop,I say we just lie low and hope that they don't notice me.
1,Chidi Anagonye,"I'm sorry, I don't think I can help you."
1,Chidi Anagonye,"I just don't like being dishonest, and I can't advise you to be dishonest either."
1,Eleanor Shellstrop,"Come on, I'm just asking you to fudge a little bit."
1,Eleanor Shellstrop,You must've told a few white lies in your life.
1,Eleanor Shellstrop,"I mean, what was your job?"
1,Chidi Anagonye,I was a professor of ethics and moral philosophy.
1,Eleanor Shellstrop,Mother-forker!
1,Chidi Anagonye,I'm getting a stomachache.
1,Chidi Anagonye,"I'm in a perfect utopia, and I'm� I have a stomachache."
1,Chidi Anagonye,This is awful.
1,Chidi Anagonye,"I, uh� I think I have to tell Michael about this."
1,Michael,Tell Michael about what?
1,Eleanor Shellstrop,Michael?
1,Eleanor Shellstrop,Hi.
1,Eleanor Shellstrop,What have you been up to?
1,Michael,"Eleanor, Chidi, I would like you to meet Tahani and Jianyu."
1,Michael,They are soulmates and your next-door neighbors.
1,Tahani Al-Jamil,Hello.
1,Tahani Al-Jamil,Can I just say I love your house?
1,Tahani Al-Jamil,It's just so tiny and cute.
1,Tahani Al-Jamil,"It's like a little child's plaything, like for a family of mice or for a very fancy little dog."
1,Tahani Al-Jamil,I love it.
1,Tahani Al-Jamil,It's just so sweet and teensy.
1,Tahani Al-Jamil,Just like you.
1,Tahani Al-Jamil,Boop.
1,Eleanor Shellstrop,Oh!
1,Michael,Oh!
1,Eleanor Shellstrop,You booped me.
1,Tahani Al-Jamil,I did.
1,Eleanor Shellstrop,That's fun.
1,Michael,"Tahani and Jianyu are having a little welcome party tonight, and they've invited the entire neighborhood."
1,Tahani Al-Jamil,"Oh, I simply adore entertaining."
1,Tahani Al-Jamil,"Don't I just adore it, Jianyu?"
1,Tahani Al-Jamil,"Oh, yes, by the way, Jianyu here is a Buddhist monk, you see, and he obeys a strict code of silence."
1,Tahani Al-Jamil,"So when you see him smiling and nodding, that's actually his way of jumping up and down with glee."
1,Tahani Al-Jamil,"Isn't that right, darling?"
1,Tahani Al-Jamil,So we'll see you tonight?
1,Eleanor Shellstrop,Great.
1,Chidi Anagonye,Yes.
1,Eleanor Shellstrop,No way.
1,Eleanor Shellstrop,My entire house could fit in this room.
1,Chidi Anagonye,"Okay, uh� help me out here."
1,Chidi Anagonye,"Tell me one good thing that you did on Earth, just one truly kind and decent act so that I can feel better about helping you out."
1,Eleanor Shellstrop,Uh�
1,Chidi Anagonye,Let's forget about good.
1,Chidi Anagonye,"Um, just tell me something neutral about yourself."
1,Chidi Anagonye,"Like, tell me about the day before you died."
1,Chidi Anagonye,What do you remember?
1,Joe,Hi there.
1,Joe,Do you have a second to talk about the environment?
1,Eleanor Shellstrop,Do you have a second to eat my farts?
1,Joe,You missed.
1,Eleanor Shellstrop,Pick it up if you're so horny for the environment.
1,Eleanor Shellstrop,I don't remember anything specific.
1,Chidi Anagonye,Oh�
1,Eleanor Shellstrop,Look.
1,Eleanor Shellstrop,"I might not have been a saint, but it's not like I killed anybody."
1,Eleanor Shellstrop,I wasn't an arsonist.
1,Eleanor Shellstrop,I never found a wallet outside of an IHOP and thought about returning it but saw the owner lived out of state so just took the cash and dropped the wallet back on the ground.
1,Chidi Anagonye,"Okay, that's really specific, and that makes me think that you definitely did do that."
1,Eleanor Shellstrop,"All I'm saying is these people might be ""good"", but are they really that much better than me?"
1,Bambadjan,"Well, I spent half my life in North Korea fighting for women's rights and the other half in Saudi Arabia fighting for gay rights."
1,Gloria,"So we said, ""If the UN won't remove those land mines, we will."""
1,Gloria,And we dug up over a thousand unexploded land mines from the area surrounding the orphanage.
1,Sachveer,"Well, then he said, ""You can't give me both your kidneys, you'll die."""
1,Sachveer,"And I said, ""But you will live."""
1,Sachveer,"And I know we just met on this bus ten minutes ago, but he seemed nice."
1,Eleanor Shellstrop,"Oh, forget it."
1,Eleanor Shellstrop,Heading to the bar!
1,Michael,"Thank you, thank you."
1,Michael,You all know that I am the architect of this neighborhood.
1,Michael,But what you don't know is�
1,Michael,"Golly, I'm not supposed to tell you this, but, um�"
1,Michael,"Oh, what the heck?"
1,Michael,This is actually the very first neighborhood that I have ever designed.
1,Michael,"I have been an apprentice for over 200 years, and my boss has finally given me my first solo project."
1,Michael,Yes!
1,Eleanor Shellstrop,"Ah, ah, ah."
1,Eleanor Shellstrop,"Hold on there, ace."
1,Eleanor Shellstrop,Let me get more of them shrampies.
1,Chidi Anagonye,"Okay, easy."
1,Eleanor Shellstrop,What?
1,Eleanor Shellstrop,"They're for everybody, right?"
1,Chidi Anagonye,"Yes, exactly."
1,Michael,And you deserve a perfect world because every single one of you is a good person.
1,Michael,That's it for me.
1,Michael,"Back to you, Tahani."
1,Tahani Al-Jamil,"Bravo, Michael, bravo!"
1,Michael,Thank you.
1,Tahani Al-Jamil,"And I would just like to quickly say if any of you would like to play tennis tonight, we have 36 regulation grass tennis courts."
1,Tahani Al-Jamil,Such fun.
1,Tahani Al-Jamil,Cheers.
1,Eleanor Shellstrop,"Tahani, what a condescending bench."
1,Chidi Anagonye,"Okay, okay, okay, okay."
1,Eleanor Shellstrop,Am I right?
1,Eleanor Shellstrop,"Why does she still have that British accent, right?"
1,Eleanor Shellstrop,No one else here has an accent.
1,Eleanor Shellstrop,She's choosing to have that accent.
1,Eleanor Shellstrop,"""Oh, hello."
1,Eleanor Shellstrop,"I am just a big, beautiful, utterly perfect cartoon giraffe."""
1,Chidi Anagonye,"Oh, okay."
1,Chidi Anagonye,Okay.
1,Chidi Anagonye,I think it's time to go home.
1,Eleanor Shellstrop,"Wait, wait, wait."
1,Eleanor Shellstrop,I just have to go upstairs real quick and steal a bunch of gold stuff.
1,Chidi Anagonye,"Okay, don't do that."
1,Chidi Anagonye,"Don't do� no, Eleanor, Eleanor, Eleanor."
1,Eleanor Shellstrop,"Hello, creepy house that I hate."
1,Eleanor Shellstrop,"Hello, one million clowns."
1,Eleanor Shellstrop,Why aren't there stairs here?
1,Eleanor Shellstrop,What kind of weirdo house is this?
1,Eleanor Shellstrop,Ooh.
1,Chidi Anagonye,Did you fill your bra with shrimp?
1,Eleanor Shellstrop,No.
1,Eleanor Shellstrop,Yes.
1,Eleanor Shellstrop,"Whatever, it's freakin' heaven."
1,Eleanor Shellstrop,I'm sure they have plenty of shellfish.
1,Eleanor Shellstrop,"That Tahani is a real butthead, huh?"
1,Eleanor Shellstrop,Hey.
1,Eleanor Shellstrop,"At least I can still say ""butthead""."
1,Eleanor Shellstrop,"Oh, she is a butthead."
1,Chidi Anagonye,Found some pajamas.
1,Eleanor Shellstrop,"Chidi� Chidi, Chidi?"
1,Eleanor Shellstrop,I'm sorry that you had to deal with this�
1,Chidi Anagonye,It's okay.
1,Eleanor Shellstrop,"It's not, though."
1,Eleanor Shellstrop,Do you think anybody cared that I died?
1,Eleanor Shellstrop,Maybe someone did.
1,Eleanor Shellstrop,I don't know.
1,Eleanor Shellstrop,I was an only child.
1,Eleanor Shellstrop,My parents were divorced when I was a kid.
1,Eleanor Shellstrop,"They were both crummy people, so they're probably� in The Bad Place."
1,Eleanor Shellstrop,Maybe they're being used to torture each other.
1,Eleanor Shellstrop,It would work.
1,Eleanor Shellstrop,I bet way more people cared that you died.
1,Eleanor Shellstrop,Cause you're a nice person.
1,Eleanor Shellstrop,"You're a nice person, Chidi� Anaconda."
1,Chidi Anagonye,"""Anagonye""."
1,Eleanor Shellstrop,Aganocomonga.
1,Chidi Anagonye,"""Anagonye""."
1,Eleanor Shellstrop,Ags� say it again.
1,Chidi Anagonye,"""Anagonye""."
1,Eleanor Shellstrop,"No, say what you said before."
1,Chidi Anagonye,I did.
1,Chidi Anagonye,It's Anagonye.
1,Eleanor Shellstrop,You just changed it.
1,Chidi Anagonye,"I didn't change it, it's my name."
1,Eleanor Shellstrop,Argrugande.
1,Eleanor Shellstrop,Ariana Grande.
1,Eleanor Shellstrop,That's a person.
1,Eleanor Shellstrop,I did it.
1,Eleanor Shellstrop,Good night.
1,Chidi Anagonye,Good night.
1,Chidi Anagonye,"Well, that's terrifying."
1,Eleanor Shellstrop,That can't be good.
1,Eleanor Shellstrop,"Oh, fork."
1,Tahani Al-Jamil,Michael.
1,Michael,Hmm?
1,Tahani Al-Jamil,"Is that giant, terrifying ladybug supposed to be there?"
1,Michael,Ah.
1,Michael,"Well, great question, Tahani."
1,Michael,No.
1,Michael,"No, it's not."
1,Michael,I have no idea why any of this is happening or how to control it.
1,Tahani Al-Jamil,Should we run away then?
1,Michael,Yes.
1,Tahani Al-Jamil,Righto.
1,Eleanor Shellstrop,"Chidi, Chidi!"
1,Eleanor Shellstrop,What's going on?
1,Eleanor Shellstrop,Why are there giant animals everywhere?
1,Eleanor Shellstrop,Do you hear Ariana Grande playing?
1,Eleanor Shellstrop,Why is everyone wearing blue and yellow?
1,Chidi Anagonye,You're not.
1,Chidi Anagonye,You're the only one who's not.
1,Chidi Anagonye,"Eleanor, this is all happening because of you."
1,Eleanor Shellstrop,"Oh, fork me."
1,Eleanor Shellstrop,"Okay, okay."
1,Eleanor Shellstrop,We don't know this is because of me.
1,Chidi Anagonye,"Eleanor, this place is a perfectly made Swiss watch, and you are a wrench in the gears."
1,Chidi Anagonye,"Actually, you're a hammer, just smashing the gears into dust."
1,Eleanor Shellstrop,"Oh, hang on."
1,Eleanor Shellstrop,"Not everybody here is perfect, okay?"
1,Eleanor Shellstrop,Tahani is totally condescending.
1,Eleanor Shellstrop,"And there are a couple of, you know, chunksters."
1,Chidi Anagonye,"Oh, come on!"
1,Eleanor Shellstrop,No judgment.
1,Eleanor Shellstrop,I'm just saying I'm not the only one with flaws.
1,Eleanor Shellstrop,So how can we be sure this is my fault?
1,Chidi Anagonye,"You hogged all the shrimp, and now there are shrimp flying around."
1,Chidi Anagonye,"You called Tahani a giraffe, and now there are giraffes everywhere."
1,Eleanor Shellstrop,"Okay, fine, turns out there are many ways to know that it was me."
1,Chidi Anagonye,"Let's just face it, Eleanor, you don't belong here."
1,Eleanor Shellstrop,"Well, then this system sucks."
1,Eleanor Shellstrop,"What, one in a million gets to live in paradise and everyone else is tortured for eternity?"
1,Eleanor Shellstrop,Come on.
1,Eleanor Shellstrop,"I mean, I wasn't freaking Gandhi, but I was okay."
1,Eleanor Shellstrop,I was a medium person.
1,Eleanor Shellstrop,I should get to spend eternity in a medium place!
1,Eleanor Shellstrop,Like Cincinnati.
1,Eleanor Shellstrop,Everyone who wasn't perfect but wasn't terrible should get to spend eternity in Cincinnati.
1,Chidi Anagonye,"Look, apparently it doesn't work that way."
1,Chidi Anagonye,"I'm sorry, Eleanor, but there's nothing anyone can do."
1,Eleanor Shellstrop,Unless� there is something we can do.
1,Eleanor Shellstrop,Unless you could teach me.
1,Chidi Anagonye,Teach you what?
1,Eleanor Shellstrop,How to be good.
1,Eleanor Shellstrop,"That was your job, right?"
1,Eleanor Shellstrop,A professor of ethics?
1,Eleanor Shellstrop,No one knew I was a problem when I arrived.
1,Eleanor Shellstrop,Things only started getting crazy after I was an ash-hole to everyone at the party.
1,Eleanor Shellstrop,Ugh.
1,Eleanor Shellstrop,"You know I'm trying to say ""ash-hole"" and not ""ash-hole"", right?"
1,Chidi Anagonye,"I got that, yes."
1,Eleanor Shellstrop,"Okay, give me a chance."
1,Eleanor Shellstrop,Let me earn my place here.
1,Eleanor Shellstrop,Let me be your ethical guinea pig.
1,Michael,"Hey, guys!"
1,Michael,"Uh� emergency neighborhood meeting, now!"
1,Eleanor Shellstrop,"We'll be right there, Michael!"
1,Eleanor Shellstrop,"If I walk out of here in these clothes, I'm toast."
1,Eleanor Shellstrop,"My soul is in your hands, soulmate."
1,Eleanor Shellstrop,What's it gonna be?
1,Chidi Anagonye,"Oh, stomachache."
2,Chidi Anagonye,I don't know what to do here.
2,Chidi Anagonye,This is a mess.
2,Chidi Anagonye,"Morally speaking, this is a putrid, disgusting bowl of ethical soup."
2,Eleanor Shellstrop,"Okay, well, how about we just chill and go to the town meeting and talk it out after?"
2,Eleanor Shellstrop,Great.
2,Eleanor Shellstrop,"Hey, how do I make that helper woman show up?"
2,Eleanor Shellstrop,Hello?
2,Eleanor Shellstrop,Front desk lady?
2,Eleanor Shellstrop,Magical slave robot?
2,Chidi Anagonye,"Excuse me, Janet?"
2,Janet,"Hi, there."
2,Eleanor Shellstrop,Still not used to it.
2,Eleanor Shellstrop,"Um, Janet, I need�"
2,Eleanor Shellstrop,"Quick question, can anyone access our search history, or is this an incognito browsing situation like when you're stalking a hot mailman from your work computer?"
2,Janet,It is 100% confidential.
2,Janet,"No one can access what you ask me, including Michael."
2,Janet,"Now, what kind of pornography would you like to see?"
2,Eleanor Shellstrop,No.
2,Eleanor Shellstrop,"No, no, no, not porn."
2,Eleanor Shellstrop,"I, um� I need clothes, like yours and Chidi's with the stripes."
2,Janet,There you go.
2,Michael,"Everybody, everybody!"
2,Michael,"Gather round, please, thank you, thank you."
2,Michael,"Obviously, there's something very wrong with this neighborhood."
2,Michael,"We don't know what it is, how long it will last, or what caused it."
2,Michael,"What do we know, Janet?"
2,Janet,We know where it happened.
2,Janet,Here.
2,Michael,"Yes, thank you, Janet."
2,Michael,The chaos happened here.
2,Michael,"See, that's the trouble with these perfect systems."
2,Michael,One little flaw can lead to�
2,Michael,"Well, it can lead to� Gary over there."
2,Gary,"Hey, Gary."
2,Michael,"Hang in there, buddy."
2,Michael,"Boy, my armpits are leaking."
2,Michael,What is that called again?
2,Janet,Sweat.
2,Michael,"Right, right."
2,Michael,Still not used to being in a human body.
2,Michael,And what do you do with sweat?
2,Michael,"Do you lick it away, is that right?"
2,Janet,"No, you dab it with a cloth."
2,Michael,"Oh, right."
2,Michael,And then you lick the cloth?
2,Michael,That seems weirder.
2,Tahani Al-Jamil,Michael.
2,Tahani Al-Jamil,Look!
2,Michael,Okay.
2,Michael,That's a good sign.
2,Michael,It could mean that this is almost over.
2,Tahani Al-Jamil,"Oh, such a relief."
2,Tahani Al-Jamil,"That was my first time as a fashion ""don't"", and I did not care for it."
2,Eleanor Shellstrop,"Okay, things are settling down outside."
2,Eleanor Shellstrop,"I think it's time to� make me good, partner."
2,Eleanor Shellstrop,How do we do it?
2,Eleanor Shellstrop,Is there a pill I can take or something I could vape?
2,Eleanor Shellstrop,Where did you get a chalkboard?
2,Chidi Anagonye,"It's The Good Place, you can get anything you want at any time."
2,Eleanor Shellstrop,And you chose a chalkboard?
2,Eleanor Shellstrop,What are you reading?
2,Chidi Anagonye,The Metaphysics of Morals by Immanuel Kant.
2,Chidi Anagonye,It's a treatise on the aesthetic preconditions of the mind's receptivity to duty.
2,Chidi Anagonye,It's a book on how to act good.
2,Eleanor Shellstrop,"Oh, great!"
2,Eleanor Shellstrop,So you've decided to help me?
2,Chidi Anagonye,I don't know.
2,Chidi Anagonye,There's a thousand questions.
2,Chidi Anagonye,Is there a moral imperative to help you?
2,Eleanor Shellstrop,Hmm.
2,Chidi Anagonye,Do I have a greater obligation to my community?
2,Chidi Anagonye,"Are you taking someone else's spot, someone who deserves to be here?"
2,Eleanor Shellstrop,Ooh!
2,Eleanor Shellstrop,"On that question, I honestly think I was just put here by mistake."
2,Eleanor Shellstrop,"Because Michael called me Eleanor Shellstrop, so he knows I'm me."
2,Eleanor Shellstrop,"He's just wrong about my overall ""quality"" level."
2,Eleanor Shellstrop,"Please, help me, man."
2,Eleanor Shellstrop,I swear I am worth it.
2,Chidi Anagonye,Tell me one fact that you know about me.
2,Chidi Anagonye,"I mean, we spent the whole day together."
2,Chidi Anagonye,You must remember something.
2,Chidi Anagonye,What country am I from?
2,Eleanor Shellstrop,Is it racist if I say Africa?
2,Chidi Anagonye,"Yes, and Africa is not a country."
2,Chidi Anagonye,I am from Senegal.
2,Chidi Anagonye,Do I have any siblings?
2,Chidi Anagonye,Where did I go to college?
2,Eleanor Shellstrop,Trick question.
2,Eleanor Shellstrop,You didn't.
2,Chidi Anagonye,I was literally a college professor.
2,Chidi Anagonye,Do you not remember one single thing about me?
2,Eleanor Shellstrop,"Dude, things have been nuts around here."
2,Eleanor Shellstrop,I bet you don't know anything about me.
2,Chidi Anagonye,You were born in Phoenix.
2,Chidi Anagonye,You went to school in Tempe.
